filename,ID,Item Name,Name,Population,Type,Voxel Count,Volume (µm³),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Number of contained Mito,Compartment ROIs ID,Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470)
PSY106 clump 25C 16 01 m-25.csv,35,PSY106 clump 25C 16,Mito 34,Mito,Object,NA,0.161,NA,NA,NA,NA,NA,538.69,3284.63,1356.79,183166.7,646.08,NA,NA,NA,NA,NA,13.54,32.29,2.99,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 01 m-35.csv,1,PSY106 clump 25C 16,ROIs 1,ROIs,Object,NA,291.4,240,1827,396.26,96978114,91.29,155.57,16046.49,692.87,170000000,273.41,1e-6,28464.39,411.53,101000000,683.75,NA,NA,NA,8,NA,476,1493,688.83,169000000,67.87
PSY106 clump 25C 16 01 m-35.csv,8,PSY106 clump 25C 16,Mito 7,Mito,Object,NA,0.457,NA,NA,NA,NA,NA,479.3,9031.33,1769.31,679415.88,1271.66,NA,NA,NA,NA,NA,13.99,24.73,2.79,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 01 m-35.csv,9,PSY106 clump 25C 16,Mito 8,Mito,Object,NA,0.786,NA,NA,NA,NA,NA,414.97,11864.16,1663.92,1098184.38,1210.04,NA,NA,NA,NA,NA,12.42,27.04,2.79,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 01 m-35.csv,10,PSY106 clump 25C 16,Mito 9,Mito,Object,NA,0.0524,NA,NA,NA,NA,NA,537.84,1385.96,790.59,34785.85,235.35,NA,NA,NA,NA,NA,13,28.56,2.8,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 01 m-35.csv,11,PSY106 clump 25C 16,Mito 10,Mito,Object,NA,0.275,NA,NA,NA,NA,NA,565.43,2628.5,1144.47,264372.41,449.92,NA,NA,NA,NA,NA,11.27,29.44,2.83,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 01 m-35.csv,12,PSY106 clump 25C 16,Mito 11,Mito,Object,NA,0.701,NA,NA,NA,NA,NA,465.96,3938.86,1386.23,816487.06,739.62,NA,NA,NA,NA,NA,15.18,30.53,2.9,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 01 m-35.csv,13,PSY106 clump 25C 16,Mito 12,Mito,Object,NA,0.212,NA,NA,NA,NA,NA,634.84,5330.22,1630.26,290186.44,1002.88,NA,NA,NA,NA,NA,10.73,31.82,2.73,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 01 m-35.csv,15,PSY106 clump 25C 16,Mito 14,Mito,Object,NA,0.202,NA,NA,NA,NA,NA,460.35,3284.63,1336.66,227232.78,668.18,NA,NA,NA,NA,NA,13.54,32.28,2.99,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 01 m-35.csv,16,PSY106 clump 25C 16,Mito 15,Mito,Object,NA,0.173,NA,NA,NA,NA,NA,486.59,3297.75,1317.82,191083.3,672.48,NA,NA,NA,NA,NA,14.18,32.96,2.93,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 01 m-50.csv,1,PSY106 clump 25C 16,ROIs 1,ROIs,Object,NA,291.4,240,1827,396.26,96978114,91.29,155.57,16046.49,692.87,170000000,273.41,1e-6,28464.39,411.53,101000000,683.75,NA,NA,NA,7,NA,476,1493,688.83,169000000,67.87
PSY106 clump 25C 16 01 m-50.csv,7,PSY106 clump 25C 16,Mito 6,Mito,Object,NA,0.564,NA,NA,NA,NA,NA,443.13,9031.33,1719.84,815205,1241.26,NA,NA,NA,NA,NA,13.99,24.73,2.78,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 01 m-50.csv,8,PSY106 clump 25C 16,Mito 7,Mito,Object,NA,1.12,NA,NA,NA,NA,NA,414.97,11864.16,1572.34,1473279.5,1140.74,NA,NA,NA,NA,NA,12.49,27.16,2.79,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 01 m-50.csv,9,PSY106 clump 25C 16,Mito 8,Mito,Object,NA,0.382,NA,NA,NA,NA,NA,427.82,3547.56,1193.22,383024,551.34,NA,NA,NA,NA,NA,11.29,29.43,2.8,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 01 m-50.csv,11,PSY106 clump 25C 16,Mito 10,Mito,Object,NA,0.856,NA,NA,NA,NA,NA,465.96,6625.81,1424.39,1024139.88,855.42,NA,NA,NA,NA,NA,15.18,30.55,2.89,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 01 m-50.csv,12,PSY106 clump 25C 16,Mito 11,Mito,Object,NA,0.256,NA,NA,NA,NA,NA,491.59,5330.22,1573.88,338384.06,999.87,NA,NA,NA,NA,NA,10.74,31.82,2.75,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 01 m-50.csv,14,PSY106 clump 25C 16,Mito 13,Mito,Object,NA,0.286,NA,NA,NA,NA,NA,451.72,3284.63,1277.78,306666.72,662.42,NA,NA,NA,NA,NA,13.55,32.26,3,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 01 m-50.csv,15,PSY106 clump 25C 16,Mito 14,Mito,Object,NA,0.22,NA,NA,NA,NA,NA,486.59,3896.97,1261.28,233336.39,685.68,NA,NA,NA,NA,NA,14.18,32.96,2.95,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-25.csv,1,PSY106 clump 25C 16,ROIs 1,ROIs,Object,NA,317.13,239,1795,396.13,106000000,89.3,157.05,23544.47,655.91,175000000,210.88,1e-6,22094.85,408.81,109000000,663.39,NA,NA,NA,12,NA,459,1468,656.78,175000000,61.12
PSY106 clump 25C 16 02 m-25.csv,11,PSY106 clump 25C 16,Mito 10,Mito,Object,NA,0.117,NA,NA,NA,NA,NA,682.83,2055.91,1155.23,113212.78,340.74,NA,NA,NA,NA,NA,18.54,29.36,2.71,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-25.csv,14,PSY106 clump 25C 16,Mito 13,Mito,Object,NA,0.368,NA,NA,NA,NA,NA,480.91,6141.45,1053.05,325393.69,605.95,NA,NA,NA,NA,NA,19.65,30.31,2.81,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-25.csv,16,PSY106 clump 25C 16,Mito 15,Mito,Object,NA,0.187,NA,NA,NA,NA,NA,558.87,2550.51,879.04,138009,314.33,NA,NA,NA,NA,NA,19.38,31.64,3.04,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-25.csv,18,PSY106 clump 25C 16,Mito 17,Mito,Object,NA,0.392,NA,NA,NA,NA,NA,409.37,1896.97,872.63,287094.69,285.19,NA,NA,NA,NA,NA,14.97,33.72,2.81,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-25.csv,19,PSY106 clump 25C 16,Mito 18,Mito,Object,NA,0.186,NA,NA,NA,NA,NA,414.21,1066.43,630.15,98302.8,127.65,NA,NA,NA,NA,NA,16.89,34.46,3.11,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-25.csv,20,PSY106 clump 25C 16,Mito 19,Mito,Object,NA,0.0583,NA,NA,NA,NA,NA,416.58,728.26,590.13,28916.53,79.94,NA,NA,NA,NA,NA,18.22,35.28,2.84,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-25.csv,21,PSY106 clump 25C 16,Mito 20,Mito,Object,NA,0.292,NA,NA,NA,NA,NA,427.82,1859.38,910.34,223032.11,306.95,NA,NA,NA,NA,NA,18.83,36.38,2.89,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-25.csv,22,PSY106 clump 25C 16,Mito 21,Mito,Object,NA,0.164,NA,NA,NA,NA,NA,459.69,2623.14,900.29,124240.59,338.8,NA,NA,NA,NA,NA,14.2,36.05,2.99,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-25.csv,36,PSY106 clump 25C 16,Mito 35,Mito,Object,NA,0.276,NA,NA,NA,NA,NA,461.63,2001.93,808.68,187614.77,229.41,NA,NA,NA,NA,NA,18.62,34.63,2.89,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-25.csv,37,PSY106 clump 25C 16,Mito 36,Mito,Object,NA,0.166,NA,NA,NA,NA,NA,429.42,1371.88,739.38,102774.41,187.01,NA,NA,NA,NA,NA,15.59,35.79,3.06,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-25.csv,38,PSY106 clump 25C 16,Mito 37,Mito,Object,NA,0.136,NA,NA,NA,NA,NA,590.13,1461.12,853.57,97306.92,159.43,NA,NA,NA,NA,NA,14.96,36.95,3,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-25.csv,39,PSY106 clump 25C 16,Mito 38,Mito,Object,NA,0.281,NA,NA,NA,NA,NA,532.85,2136.22,933.75,220365.22,268.88,NA,NA,NA,NA,NA,16.03,38.04,2.97,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-35.csv,1,PSY106 clump 25C 16,ROIs 1,ROIs,Object,NA,317.13,239,1795,396.13,106000000,89.3,157.05,23544.47,655.91,175000000,210.88,1e-6,22094.85,408.81,109000000,663.39,NA,NA,NA,9,NA,459,1468,656.78,175000000,61.12
PSY106 clump 25C 16 02 m-35.csv,2,PSY106 clump 25C 16,Mito 1,Mito,Object,NA,0.555,NA,NA,NA,NA,NA,460.83,6141.45,1063.3,495496.78,531.85,NA,NA,NA,NA,NA,19.39,30.08,2.79,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-35.csv,14,PSY106 clump 25C 16,Mito 13,Mito,Object,NA,0.204,NA,NA,NA,NA,NA,558.87,2550.51,898.57,153654.89,330.89,NA,NA,NA,NA,NA,19.38,31.64,3.03,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-35.csv,17,PSY106 clump 25C 16,Mito 16,Mito,Object,NA,0.479,NA,NA,NA,NA,NA,409.37,1896.97,879.66,353622.78,291.18,NA,NA,NA,NA,NA,14.98,33.75,2.8,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-35.csv,18,PSY106 clump 25C 16,Mito 17,Mito,Object,NA,0.41,NA,NA,NA,NA,NA,413.42,1371.88,681.83,234550.88,166.03,NA,NA,NA,NA,NA,16.26,35.1,3.09,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-35.csv,19,PSY106 clump 25C 16,Mito 18,Mito,Object,NA,0.411,NA,NA,NA,NA,NA,350.06,2001.93,747.89,258021.09,235.04,NA,NA,NA,NA,NA,18.54,34.75,2.91,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-35.csv,20,PSY106 clump 25C 16,Mito 19,Mito,Object,NA,0.33,NA,NA,NA,NA,NA,425.41,1859.38,892.86,247321.77,305.31,NA,NA,NA,NA,NA,18.83,36.38,2.9,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-35.csv,21,PSY106 clump 25C 16,Mito 20,Mito,Object,NA,0.205,NA,NA,NA,NA,NA,459.69,2623.14,915.39,157447.91,374.7,NA,NA,NA,NA,NA,14.2,36.05,2.99,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-35.csv,22,PSY106 clump 25C 16,Mito 21,Mito,Object,NA,0.339,NA,NA,NA,NA,NA,532.85,2136.22,930.53,265200.84,274.46,NA,NA,NA,NA,NA,15.99,38.01,2.97,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-35.csv,35,PSY106 clump 25C 16,Mito 34,Mito,Object,NA,0.168,NA,NA,NA,NA,NA,590.13,1475.26,841.32,118625.59,170.52,NA,NA,NA,NA,NA,14.94,36.94,3.01,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-50.csv,1,PSY106 clump 25C 16,ROIs 1,ROIs,Object,NA,317.13,239,1795,396.13,106000000,89.3,157.05,23544.47,655.91,175000000,210.88,1e-6,22094.85,408.81,109000000,663.39,NA,NA,NA,9,NA,459,1468,656.78,175000000,61.12
PSY106 clump 25C 16 02 m-50.csv,10,PSY106 clump 25C 16,Mito 9,Mito,Object,NA,0.691,NA,NA,NA,NA,NA,460.83,6141.45,1058.6,613985.94,518.54,NA,NA,NA,NA,NA,19.39,30.08,2.8,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-50.csv,13,PSY106 clump 25C 16,Mito 12,Mito,Object,NA,0.25,NA,NA,NA,NA,NA,558.87,2550.51,915.36,192226.31,343.77,NA,NA,NA,NA,NA,19.37,31.64,3.02,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-50.csv,16,PSY106 clump 25C 16,Mito 15,Mito,Object,NA,0.676,NA,NA,NA,NA,NA,358.73,2242.4,894.82,508259.34,297.16,NA,NA,NA,NA,NA,14.98,33.77,2.78,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-50.csv,17,PSY106 clump 25C 16,Mito 16,Mito,Object,NA,0.576,NA,NA,NA,NA,NA,350.06,2250.6,734.69,355587.97,272.04,NA,NA,NA,NA,NA,18.55,34.76,2.93,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-50.csv,18,PSY106 clump 25C 16,Mito 17,Mito,Object,NA,0.424,NA,NA,NA,NA,NA,425.41,3364.15,878.63,312791.81,353.97,NA,NA,NA,NA,NA,18.84,36.36,2.92,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-50.csv,19,PSY106 clump 25C 16,Mito 18,Mito,Object,NA,0.292,NA,NA,NA,NA,NA,459.69,2952.33,910.46,223063.44,392.03,NA,NA,NA,NA,NA,14.22,36.07,3,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-50.csv,20,PSY106 clump 25C 16,Mito 19,Mito,Object,NA,0.549,NA,NA,NA,NA,NA,413.42,1674.5,686.91,316664.06,178.84,NA,NA,NA,NA,NA,16.24,35.12,3.09,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-50.csv,21,PSY106 clump 25C 16,Mito 20,Mito,Object,NA,0.432,NA,NA,NA,NA,NA,520.65,2136.22,924.1,335446.88,287.58,NA,NA,NA,NA,NA,16,38.02,2.99,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 02 m-50.csv,35,PSY106 clump 25C 16,Mito 34,Mito,Object,NA,0.235,NA,NA,NA,NA,NA,590.13,1605.52,851.93,167830.52,192.16,NA,NA,NA,NA,NA,14.93,36.93,3.01,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 04 m-25.csv,1,PSY106 clump 25C 16,ROIs 1,ROIs,Object,NA,261.2,238,2542,391.2,85815604,113.42,124.23,13350.65,713.47,157000000,323.89,1e-6,54682.5,412.77,90547736,829.42,NA,NA,NA,10,NA,475,1542,695.91,153000000,72.92
PSY106 clump 25C 16 04 m-25.csv,3,PSY106 clump 25C 16,Mito 2,Mito,Object,NA,0.42,NA,NA,NA,NA,NA,488.04,5922.6,1907.47,673338.5,1171.7,NA,NA,NA,NA,NA,70.33,17.77,3.1,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 04 m-25.csv,4,PSY106 clump 25C 16,Mito 3,Mito,Object,NA,0.485,NA,NA,NA,NA,NA,619.05,3951.15,1377.31,560563.31,570.94,NA,NA,NA,NA,NA,72.19,19.18,3.03,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 04 m-25.csv,5,PSY106 clump 25C 16,Mito 4,Mito,Object,NA,0.319,NA,NA,NA,NA,NA,417.72,4912.97,1640.86,439751.75,1058.78,NA,NA,NA,NA,NA,66.69,19.45,3.08,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 04 m-25.csv,6,PSY106 clump 25C 16,Mito 5,Mito,Object,NA,0.169,NA,NA,NA,NA,NA,573.8,4629.98,1808.96,256872.09,929.08,NA,NA,NA,NA,NA,69.09,21.15,3.03,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 04 m-25.csv,7,PSY106 clump 25C 16,Mito 6,Mito,Object,NA,0.0619,NA,NA,NA,NA,NA,725.01,4181.87,1596.68,83027.62,717.86,NA,NA,NA,NA,NA,69.87,21.85,3.01,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 04 m-25.csv,32,PSY106 clump 25C 16,Mito 31,Mito,Object,NA,0.075,NA,NA,NA,NA,NA,698,2798.34,1527.83,96253.49,690.92,NA,NA,NA,NA,NA,65.64,19.62,3.14,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 04 m-25.csv,33,PSY106 clump 25C 16,Mito 32,Mito,Object,NA,0.458,NA,NA,NA,NA,NA,318.2,13350.65,2523.78,971656.25,2673.97,NA,NA,NA,NA,NA,72.08,21.86,3.14,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 04 m-25.csv,34,PSY106 clump 25C 16,Mito 33,Mito,Object,NA,0.0167,NA,NA,NA,NA,NA,891.42,1264.28,1059.01,14826.17,111.32,NA,NA,NA,NA,NA,70.76,21.77,3,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 04 m-25.csv,52,PSY106 clump 25C 16,Mito 51,Mito,Object,NA,0.031,NA,NA,NA,NA,NA,780.31,1687.47,1185.45,30821.67,266.63,NA,NA,NA,NA,NA,71.14,18.21,3.38,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 04 m-25.csv,53,PSY106 clump 25C 16,Mito 52,Mito,Object,NA,0.0274,NA,NA,NA,NA,NA,1037.42,3442.39,1716.97,39490.34,691.64,NA,NA,NA,NA,NA,66.24,20.11,3.25,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 04 m-35.csv,1,PSY106 clump 25C 16,ROIs 1,ROIs,Object,NA,261.2,238,2542,391.2,85815604,113.42,124.23,13350.65,713.47,157000000,323.89,1e-6,54682.5,412.77,90547736,829.42,NA,NA,NA,9,NA,475,1542,695.91,153000000,72.92
PSY106 clump 25C 16 04 m-35.csv,3,PSY106 clump 25C 16,Mito 2,Mito,Object,NA,0.479,NA,NA,NA,NA,NA,488.04,5922.6,1889.78,759692.38,1190.52,NA,NA,NA,NA,NA,70.33,17.78,3.11,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 04 m-35.csv,4,PSY106 clump 25C 16,Mito 3,Mito,Object,NA,0.439,NA,NA,NA,NA,NA,417.72,4912.97,1617.47,596845.81,1005.65,NA,NA,NA,NA,NA,66.48,19.49,3.1,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 04 m-35.csv,5,PSY106 clump 25C 16,Mito 4,Mito,Object,NA,0.572,NA,NA,NA,NA,NA,619.05,3951.15,1363.66,654554.5,582.79,NA,NA,NA,NA,NA,72.19,19.18,3.04,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 04 m-35.csv,6,PSY106 clump 25C 16,Mito 5,Mito,Object,NA,0.207,NA,NA,NA,NA,NA,399.18,4657.17,1789.7,311408.44,1032.13,NA,NA,NA,NA,NA,69.07,21.15,3.04,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 04 m-35.csv,7,PSY106 clump 25C 16,Mito 6,Mito,Object,NA,0.0738,NA,NA,NA,NA,NA,647.54,6123.99,1671.45,103629.77,957.75,NA,NA,NA,NA,NA,69.86,21.85,3,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 04 m-35.csv,32,PSY106 clump 25C 16,Mito 31,Mito,Object,NA,0.0405,NA,NA,NA,NA,NA,911.49,3486.96,1767.21,60085.11,760.1,NA,NA,NA,NA,NA,66.24,20.12,3.25,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 04 m-35.csv,33,PSY106 clump 25C 16,Mito 32,Mito,Object,NA,0.502,NA,NA,NA,NA,NA,318.2,13350.65,2476.45,1045062.75,2624.74,NA,NA,NA,NA,NA,72.08,21.86,3.14,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 04 m-35.csv,34,PSY106 clump 25C 16,Mito 33,Mito,Object,NA,0.0214,NA,NA,NA,NA,NA,891.42,1478.79,1107.01,19926.14,147.53,NA,NA,NA,NA,NA,70.78,21.79,3,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 04 m-35.csv,47,PSY106 clump 25C 16,Mito 46,Mito,Object,NA,0.0441,NA,NA,NA,NA,NA,780.31,1687.47,1145.73,42391.86,257.82,NA,NA,NA,NA,NA,71.13,18.22,3.41,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 04 m-50.csv,1,PSY106 clump 25C 16,ROIs 1,ROIs,Object,NA,261.2,238,2542,391.2,85815604,113.42,124.23,13350.65,713.47,157000000,323.89,1e-6,54682.5,412.77,90547736,829.42,NA,NA,NA,9,NA,475,1542,695.91,153000000,72.92
PSY106 clump 25C 16 04 m-50.csv,2,PSY106 clump 25C 16,Mito 1,Mito,Object,NA,0.57,NA,NA,NA,NA,NA,417.72,4912.97,1562.32,748352.44,1022.03,NA,NA,NA,NA,NA,66.44,19.5,3.12,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 04 m-50.csv,3,PSY106 clump 25C 16,Mito 2,Mito,Object,NA,0.689,NA,NA,NA,NA,NA,408.72,6217.26,1775.31,1027906.19,1143.04,NA,NA,NA,NA,NA,70.41,17.84,3.15,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 04 m-50.csv,4,PSY106 clump 25C 16,Mito 3,Mito,Object,NA,0.761,NA,NA,NA,NA,NA,591.4,3951.15,1353.97,865188.13,590.46,NA,NA,NA,NA,NA,72.18,19.18,3.04,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 04 m-50.csv,5,PSY106 clump 25C 16,Mito 4,Mito,Object,NA,0.262,NA,NA,NA,NA,NA,399.18,4872.11,1730.77,380770.06,1072.64,NA,NA,NA,NA,NA,69.07,21.16,3.07,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 04 m-50.csv,6,PSY106 clump 25C 16,Mito 5,Mito,Object,NA,0.107,NA,NA,NA,NA,NA,647.54,6123.99,1611.63,145046.92,955.43,NA,NA,NA,NA,NA,69.85,21.85,3.02,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 04 m-50.csv,31,PSY106 clump 25C 16,Mito 30,Mito,Object,NA,0.0572,NA,NA,NA,NA,NA,911.49,3486.96,1705.38,81858.34,738.04,NA,NA,NA,NA,NA,66.22,20.12,3.27,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 04 m-50.csv,32,PSY106 clump 25C 16,Mito 31,Mito,Object,NA,0.0179,NA,NA,NA,NA,NA,719.46,1021.03,879.58,13193.63,92.65,NA,NA,NA,NA,NA,65.71,20.18,3.12,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 04 m-50.csv,33,PSY106 clump 25C 16,Mito 32,Mito,Object,NA,0.593,NA,NA,NA,NA,NA,318.2,13350.65,2345.16,1167891.88,2496.14,NA,NA,NA,NA,NA,72.07,21.86,3.15,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 16 04 m-50.csv,34,PSY106 clump 25C 16,Mito 33,Mito,Object,NA,0.0405,NA,NA,NA,NA,NA,627.47,2277.28,1184.28,40265.45,304.05,NA,NA,NA,NA,NA,70.79,21.78,2.99,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 17 01 m-25.csv,1,PSY106 clump 25C 17,ROIs 1,ROIs,Object,NA,271.1,229,1411,372.83,84886900,96.18,239.47,5564.13,644.39,147000000,167.53,1e-6,17277.5,387.38,88200128,565.31,NA,NA,NA,5,NA,462,962,636.13,145000000,49.56
PSY106 clump 25C 17 01 m-25.csv,13,PSY106 clump 25C 17,Mito 12,Mito,Object,NA,0.425,NA,NA,NA,NA,NA,508.17,2283.21,842.8,300880.44,314.42,NA,NA,NA,NA,NA,15.98,55.01,2.68,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 17 01 m-25.csv,15,PSY106 clump 25C 17,Mito 14,Mito,Object,NA,0.131,NA,NA,NA,NA,NA,509.58,1100.41,781.08,85918.73,100.85,NA,NA,NA,NA,NA,17.63,55.35,2.72,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 17 01 m-25.csv,16,PSY106 clump 25C 17,Mito 15,Mito,Object,NA,0.126,NA,NA,NA,NA,NA,563.61,1216.9,869.05,92118.88,140.16,NA,NA,NA,NA,NA,14.35,55.8,2.75,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 17 01 m-25.csv,26,PSY106 clump 25C 17,Mito 25,Mito,Object,NA,0.923,NA,NA,NA,NA,NA,459.04,1916.56,840.39,651306,220.16,NA,NA,NA,NA,NA,17.86,53.5,2.76,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 17 01 m-25.csv,31,PSY106 clump 25C 17,Mito 30,Mito,Object,NA,0.712,NA,NA,NA,NA,NA,505.35,1555.72,872.36,521671,208.36,NA,NA,NA,NA,NA,13.97,58.43,2.83,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 17 01 m-35.csv,1,PSY106 clump 25C 17,ROIs 1,ROIs,Object,NA,271.1,229,1411,372.83,84886900,96.18,239.47,5564.13,644.39,147000000,167.53,1e-6,17277.5,387.38,88200128,565.31,NA,NA,NA,5,NA,462,962,636.13,145000000,49.56
PSY106 clump 25C 17 01 m-35.csv,3,PSY106 clump 25C 17,Mito 2,Mito,Object,NA,0.485,NA,NA,NA,NA,NA,504.34,2283.21,833.79,339351.84,307.02,NA,NA,NA,NA,NA,15.97,55.01,2.69,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 17 01 m-35.csv,13,PSY106 clump 25C 17,Mito 12,Mito,Object,NA,1.06,NA,NA,NA,NA,NA,459.04,1916.56,843.33,749716.13,219.47,NA,NA,NA,NA,NA,17.87,53.5,2.76,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 17 01 m-35.csv,16,PSY106 clump 25C 17,Mito 15,Mito,Object,NA,0.146,NA,NA,NA,NA,NA,509.58,1100.41,773.18,95100.99,100.95,NA,NA,NA,NA,NA,17.63,55.35,2.72,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 17 01 m-35.csv,17,PSY106 clump 25C 17,Mito 16,Mito,Object,NA,0.15,NA,NA,NA,NA,NA,519.95,1245.56,862.5,108674.95,146.27,NA,NA,NA,NA,NA,14.34,55.8,2.75,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 17 01 m-35.csv,18,PSY106 clump 25C 17,Mito 17,Mito,Object,NA,0.845,NA,NA,NA,NA,NA,505.35,1555.72,870.16,617813.69,208.54,NA,NA,NA,NA,NA,13.99,58.45,2.83,NA,1,NA,NA,NA,NA,NA
